Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000119471.14	HSDL2	346	5.846438775057725
ENSG00000119487.16	MAPKAP1	1045	6.951772164398911
ENSG00000119508.17	NR4A3	53	3.970291913552122
ENSG00000119509.12	INVS	247	5.5093883366279774
ENSG00000119514.6	GALNT12	437	6.07993319509559
ENSG00000119522.16	DENND1A	577	6.3578422665081
ENSG00000119523.9	ALG2	515	6.244166900663736
ENSG00000119535.17	CSF3R	22	3.091042453358316
ENSG00000119537.17	KDSR	488	6.1903154058531475
ENSG00000119541.9	VPS4B	660	6.492239835020471
ENSG00000119547.5	ONECUT2	105	4.653960350157523
ENSG00000119559.15	C19orf25	187	5.231108616854587
ENSG00000119574.12	ZBTB45	86	4.454347296253507
ENSG00000119596.17	YLPM1	1679	7.425953657077541
ENSG00000119599.16	DCAF4	354	5.869296913133774
ENSG00000119616.11	FCF1	1171	7.065613363597717
ENSG00000119630.13	PGF	22	3.091042453358316
ENSG00000119632.3	IFI27L2	70	4.248495242049359
ENSG00000119636.15	BBOF1	112	4.718498871295094
ENSG00000119638.12	NEK9	1336	7.197435354096591
ENSG00000119640.8	ACYP1	130	4.867534450455582
ENSG00000119650.12	IFT43	303	5.713732805509369
ENSG00000119655.10	NPC2	3171	8.061802274538348
ENSG00000119661.14	DNAL1	580	6.363028103540465
ENSG00000119669.4	IRF2BPL	1799	7.4949862339505335
ENSG00000119673.14	ACOT2	121	4.795790545596741
ENSG00000119681.11	LTBP2	314	5.749392985908253
ENSG00000119682.16	AREL1	910	6.813444599510896
ENSG00000119684.15	MLH3	406	6.0063531596017325
ENSG00000119685.19	TTLL5	579	6.361302477572996
ENSG00000119686.9	FLVCR2	46	3.828641396489095
ENSG00000119688.20	ABCD4	1184	7.076653815443951
ENSG00000119689.14	DLST	2427	7.794411205726601
ENSG00000119699.7	TGFB3	33	3.4965075614664802
ENSG00000119703.13	ZC2HC1C	108	4.68213122712422
ENSG00000119705.9	SLIRP	683	6.52649485957079
ENSG00000119707.13	RBM25	6530	8.784162222270476
ENSG00000119711.12	ALDH6A1	411	6.018593214496234
ENSG00000119714.10	GPR68	6	1.791759469228055
ENSG00000119715.15	ESRRB	12	2.4849066497880004
ENSG00000119718.10	EIF2B2	392	5.971261839790462
ENSG00000119720.17	NRDE2	642	6.464588303689961
ENSG00000119723.16	COQ6	323	5.777652323222656
ENSG00000119725.18	ZNF410	46	3.828641396489095
ENSG00000119729.11	RHOQ	1308	7.176254532017144
ENSG00000119737.5	GPR75	13	2.5649493574615367
ENSG00000119760.15	SUPT7L	864	6.761572768804055
ENSG00000119771.14	KLHL29	305	5.720311776607412
ENSG00000119772.16	DNMT3A	1215	7.102499355774649
ENSG00000119777.19	TMEM214	797	6.680854678790215
ENSG00000119778.14	ATAD2B	193	5.262690188904886
